검사일,라인,교대조,내용량_ml,당도_brix,라인속도_bpm,원료온도_C,숙련도_년,설비알람수,불량수
2025-10-18,C,주간,503.8,11.23,344.0,24.7,7.9,2,5
2025-10-21,A,주간,500.0,10.79,275.3,23.2,3.7,3,2
2025-10-21,A,주간,494.2,11.06,292.8,28.5,3.2,2,1
2025-10-21,A,주간,497.7,11.2,279.9,22.8,5.9,3,0
2025-10-22,C,주간,496.3,11.62,332.7,27.5,2.5,2,4
2025-10-22,B,주간,501.2,10.79,307.4,22.7,7.8,4,1
2025-10-23,A,주간,500.0,10.24,301.0,20.6,8.7,2,2
2025-10-23,B,야간,502.4,10.91,312.4,22.4,5.0,1,7
2025-10-24,C,야간,496.2,10.36,315.2,20.8,10.0,3,2
2025-10-26,B,야간,500.0,11.31,310.0,27.8,0.5,2,2
2025-10-27,C,야간,501.4,,323.8,23.4,10.1,1,3
2025-10-27,C,주간,496.5,11.05,337.6,26.7,10.3,3,5
2025-10-28,A,주간,497.5,10.47,257.7,19.4,5.3,0,1
2025-10-29,A,야간,505.6,11.14,274.3,25.0,1.6,4,1
2025-10-30,A,주간,501.2,10.83,281.6,21.7,6.6,0,2
2025-10-30,A,야간,502.9,11.09,260.4,26.0,2.9,4,3
2025-10-30,C,야간,503.0,10.81,324.7,22.9,0.5,4,7
2025-11-01,B,주간,500.2,11.61,299.9,25.4,7.8,1,1
2025-11-01,A,주간,504.2,11.19,279.5,24.5,5.2,2,1
2025-11-02,B,주간,498.9,11.19,292.9,25.9,7.8,0,2
2025-11-03,B,주간,503.2,11.65,313.7,25.6,2.9,1,4
2025-11-04,C,주간,500.2,10.81,308.7,24.7,4.3,2,1
2025-11-04,C,야간,499.1,11.66,311.3,28.3,6.6,2,4
2025-11-04,B,야간,499.3,10.98,305.5,25.5,6.6,3,3
2025-11-05,C,주간,499.4,10.77,321.1,23.6,3.9,2,6
2025-11-06,B,야간,503.5,10.3,314.3,22.7,8.1,2,4
2025-11-07,A,주간,497.3,11.25,313.2,25.8,4.5,4,4
2025-11-07,A,야간,499.5,10.6,300.9,23.7,11.4,2,3
2025-11-07,A,주간,499.3,10.45,314.4,23.5,6.6,1,4
2025-11-08,B,주간,498.7,10.87,312.1,23.3,17.4,1,2
2025-11-09,C,야간,500.5,11.17,319.2,24.5,9.7,4,6
2025-11-09,A,야간,503.3,10.91,296.0,23.1,7.5,4,5
2025-11-10,C,주간,495.9,11.53,315.9,27.4,13.8,1,5
2025-11-11,B,주간,501.9,,318.3,27.9,4.6,6,5
2025-11-12,B,야간,500.3,11.85,299.7,32.1,3.7,3,2
2025-11-12,C,주간,497.2,11.21,319.6,27.3,5.0,2,5
2025-11-13,C,야간,497.3,11.64,328.5,29.0,6.7,2,4
2025-11-13,A,야간,499.4,11.13,281.0,26.5,11.2,3,0
2025-11-14,C,주간,500.9,10.52,313.8,21.9,5.4,2,5
2025-11-14,A,주간,498.7,11.11,296.8,26.1,5.9,1,2
2025-11-18,C,주간,498.9,10.92,339.3,25.0,4.7,0,3
2025-11-19,C,야간,502.2,11.55,324.9,24.7,1.6,4,9
2025-11-20,B,야간,501.5,10.82,312.0,21.5,3.7,3,2
2025-11-20,C,주간,501.6,10.5,313.8,21.0,3.8,2,5
2025-11-21,B,주간,499.1,10.9,325.6,24.7,2.1,4,4
2025-11-22,A,주간,500.1,10.84,296.3,24.9,3.9,1,1
2025-11-22,A,야간,499.5,11.33,296.1,25.0,5.4,8,3
2025-11-23,B,주간,500.5,10.82,275.6,23.9,6.1,1,0
2025-11-24,B,주간,498.2,11.25,292.9,23.1,7.4,1,1
2025-11-24,C,야간,498.3,11.17,341.3,21.0,7.4,3,4
2025-11-24,C,야간,497.9,10.75,309.4,24.0,5.3,3,5
2025-11-24,C,주간,498.1,11.19,313.2,23.4,3.4,2,3
2025-11-24,B,야간,497.5,10.75,308.2,24.7,3.9,0,9
2025-11-25,A,주간,495.2,11.21,286.2,25.1,8.3,0,2
2025-11-25,C,야간,497.6,11.29,308.1,24.1,2.1,1,3
2025-11-25,A,주간,497.8,11.12,301.8,23.0,5.5,0,0
2025-11-27,A,야간,505.8,10.84,264.8,25.0,7.6,2,4
2025-11-27,A,주간,497.9,10.82,278.9,21.5,8.7,2,2
2025-11-28,C,야간,494.7,10.41,304.1,21.7,4.4,3,1
2025-11-28,C,야간,497.2,11.28,337.6,26.9,8.9,2,6
2025-11-29,A,야간,497.8,10.93,309.7,24.8,0.5,2,3
2025-11-30,A,주간,557.9,11.22,270.2,24.7,10.9,0,1
2025-11-30,B,주간,493.0,11.76,317.7,29.0,10.6,3,1
2025-11-30,B,주간,497.7,10.63,291.5,24.0,3.9,0,0
2025-12-02,B,주간,503.5,10.91,278.3,24.3,6.9,2,0
2025-12-05,C,주간,501.1,11.12,328.4,26.5,5.8,1,5
2025-12-09,B,주간,502.4,10.8,313.5,22.5,3.7,1,5
2025-12-09,B,야간,500.6,,318.3,27.0,9.1,1,1
2025-12-09,A,주간,499.3,11.05,288.0,23.9,8.6,1,4
2025-12-11,C,주간,499.2,10.95,310.3,23.4,3.1,7,5
2025-12-13,B,야간,499.7,10.52,295.8,19.7,3.7,3,1
2025-12-14,A,주간,509.5,,259.7,26.1,8.6,5,1
2025-12-14,C,주간,498.8,11.52,334.7,29.7,10.7,2,2
2025-12-14,C,야간,499.8,11.35,295.9,26.2,8.4,4,4
2025-12-14,B,야간,499.8,10.82,289.8,22.2,2.2,3,2
2025-12-15,A,야간,503.3,11.13,292.8,27.3,1.7,2,2
2025-12-16,C,주간,502.1,10.86,307.5,20.4,18.0,1,0
2025-12-17,B,주간,497.7,11.73,301.6,29.3,3.8,2,2
2025-12-19,B,주간,501.0,11.14,295.8,23.1,2.8,1,5
2025-12-19,A,주간,498.3,11.15,283.1,22.3,7.9,1,3
2025-12-19,C,주간,496.6,10.95,332.0,22.4,3.6,3,5
2025-12-19,B,주간,499.2,11.21,280.2,22.8,3.2,4,0
2025-12-20,B,주간,500.2,10.83,278.5,22.5,3.6,0,4
2025-12-21,B,주간,500.7,11.21,282.3,25.9,7.1,0,1
2025-12-23,B,주간,502.3,10.28,267.8,22.2,4.1,1,1
2025-12-23,A,주간,499.3,10.63,302.6,22.9,10.6,4,2
2025-12-24,A,주간,501.7,11.19,305.1,23.9,4.8,1,4
2025-12-24,C,야간,498.1,11.44,309.4,27.9,7.4,2,0
2025-12-24,C,주간,500.6,11.16,322.4,25.6,11.8,3,5
2025-12-25,C,야간,498.0,10.82,322.2,23.3,8.7,2,3
2025-12-25,B,주간,494.9,11.89,292.6,27.0,3.5,3,5
2025-12-26,A,주간,498.1,10.86,288.5,21.0,4.8,0,3
2025-12-27,B,야간,500.4,11.0,299.9,22.9,9.3,1,7
2025-12-27,B,주간,494.6,10.18,320.6,21.3,7.5,0,3
