상담일,채널,문의유형,고객구분,대기시간_초,대기고객수,상담시간_분,상담원경력_년,만족도,재문의여부
2025-06-26,이메일,요금,기존,82.0,7,6.79,13.2,3.05,1
2025-06-26,전화,기타,신규,10.3,1,10.27,2.8,3.69,0
2025-06-27,채팅,장애,신규,12.6,2,14.37,11.0,4.43,1
2025-06-27,채팅,요금,기존,6.9,1,5.59,11.2,4.95,0
2025-06-27,채팅,요금,기존,40.1,4,7.14,6.3,4.0,1
2025-06-27,전화,장애,신규,74.0,6,10.83,8.8,4.79,0
2025-06-27,전화,요금,기존,22.1,2,8.73,5.7,5.0,0
2025-06-28,이메일,장애,기존,64.9,5,12.99,1.2,2.89,1
2025-06-28,채팅,요금,신규,74.9,6,14.06,5.5,3.85,0
2025-06-28,전화,장애,기존,102.0,9,11.63,1.7,3.42,1
2025-06-28,채팅,장애,기존,70.9,5,12.16,8.1,4.19,1
2025-06-29,전화,장애,신규,279.3,24,13.94,3.9,3.15,0
2025-06-30,채팅,요금,기존,22.5,1,8.68,5.8,3.98,0
2025-06-30,이메일,가입,기존,177.7,14,8.63,3.5,2.92,0
2025-06-30,전화,기타,기존,21.9,0,10.05,2.0,4.16,0
2025-07-01,전화,장애,기존,152.4,11,12.27,4.0,3.53,1
2025-07-01,채팅,요금,신규,57.8,5,6.77,6.5,4.43,1
2025-07-01,이메일,요금,신규,320.5,26,7.07,1.9,1.91,1
2025-07-02,채팅,기타,기존,6.4,0,5.82,3.2,3.94,1
2025-07-02,전화,장애,신규,59.7,5,11.15,4.6,3.61,0
2025-07-03,전화,기타,기존,55.5,4,6.87,7.7,4.22,0
2025-07-03,이메일,가입,기존,111.2,10,9.42,6.0,2.86,0
2025-07-03,이메일,요금,신규,65.3,7,7.36,4.2,3.19,1
2025-07-03,전화,장애,기존,22.3,2,11.22,16.0,5.0,0
2025-07-04,전화,장애,기존,22.1,2,12.17,6.2,4.29,1
2025-07-04,전화,가입,신규,102.1,9,6.68,8.6,3.7,1
2025-07-05,전화,가입,신규,138.1,11,8.95,0.6,3.74,1
2025-07-06,이메일,장애,기존,241.7,20,11.18,6.1,2.2,1
2025-07-06,채팅,요금,기존,37.5,3,9.47,4.7,4.14,1
2025-07-06,채팅,요금,기존,17.6,1,6.87,5.0,4.1,0
2025-07-06,전화,요금,기존,17.9,0,6.69,4.8,4.62,0
2025-07-06,전화,가입,신규,107.2,7,7.34,9.9,3.78,1
2025-07-06,채팅,요금,기존,8.3,0,5.83,9.3,5.0,0
2025-07-07,전화,가입,신규,55.9,4,8.0,3.4,4.38,0
2025-07-07,전화,요금,기존,124.9,12,9.78,5.1,4.19,1
2025-07-08,전화,장애,신규,209.9,19,9.42,12.8,3.83,1
2025-07-08,전화,가입,기존,163.8,14,10.75,6.9,4.23,1
2025-07-08,이메일,요금,기존,29.1,2,12.28,6.1,3.48,0
2025-07-08,이메일,가입,신규,31.0,2,12.09,3.6,3.03,1
2025-07-08,채팅,요금,신규,10.7,1,9.4,16.0,4.74,0
2025-07-09,이메일,요금,기존,338.3,28,8.22,3.2,2.57,1
2025-07-09,채팅,가입,신규,34.9,0,8.82,3.1,4.29,0
2025-07-09,전화,가입,기존,12.1,2,17.77,1.9,3.64,1
2025-07-10,전화,요금,신규,211.2,17,6.02,3.4,4.35,0
2025-07-10,전화,기타,기존,57.1,5,7.74,2.6,4.47,0
2025-07-11,채팅,가입,기존,9.1,2,7.43,9.1,4.16,0
2025-07-11,전화,가입,기존,116.6,10,9.06,6.4,4.13,0
2025-07-11,채팅,장애,신규,81.1,7,10.68,1.5,3.87,0
2025-07-11,채팅,장애,신규,102.6,7,10.09,13.8,4.18,1
2025-07-11,이메일,가입,기존,26.6,2,11.32,3.3,2.68,1
2025-07-11,전화,요금,기존,59.4,5,6.42,9.1,4.87,0
2025-07-11,이메일,요금,신규,141.8,11,7.02,4.6,2.4,1
2025-07-11,채팅,기타,기존,104.5,9,7.71,2.3,3.98,0
2025-07-11,전화,기타,기존,31.3,3,6.69,4.4,4.52,0
2025-07-12,전화,가입,기존,92.3,9,8.16,6.7,3.45,1
2025-07-12,이메일,장애,기존,27.9,3,10.89,4.3,3.39,1
2025-07-12,이메일,요금,신규,81.0,6,6.61,7.4,3.99,0
2025-07-12,이메일,장애,기존,5.1,1,10.13,5.4,3.61,1
2025-07-13,전화,요금,신규,73.7,6,10.13,0.6,4.01,0
2025-07-13,채팅,기타,신규,29.9,3,5.72,1.7,3.72,0
2025-07-13,채팅,가입,신규,78.8,6,8.11,1.4,3.69,0
2025-07-14,전화,기타,기존,38.8,3,4.95,6.2,4.85,0
2025-07-14,채팅,장애,기존,17.3,3,13.22,4.9,3.41,0
2025-07-15,채팅,장애,신규,41.0,4,13.79,0.3,2.55,1
2025-07-15,이메일,기타,신규,44.6,3,4.99,8.8,3.4,0
2025-07-15,채팅,요금,기존,32.3,2,8.9,7.2,3.67,0
2025-07-15,전화,기타,기존,56.8,3,5.29,5.0,4.21,1
2025-07-15,채팅,요금,신규,110.4,8,9.92,2.1,3.21,0
2025-07-16,전화,장애,기존,73.6,6,11.49,3.5,3.29,1
2025-07-16,채팅,가입,기존,10.1,0,9.34,5.8,3.63,1
2025-07-16,채팅,요금,기존,16.2,1,7.31,3.9,4.11,1
2025-07-16,이메일,장애,신규,262.6,22,11.66,2.5,2.19,1
2025-07-17,전화,요금,기존,58.3,4,6.51,3.3,4.2,1
2025-07-17,채팅,요금,기존,50.8,4,7.14,1.5,3.32,0
2025-07-17,채팅,기타,기존,66.1,5,4.92,7.5,4.43,0
2025-07-18,전화,요금,기존,161.2,14,9.18,1.9,3.3,1
2025-07-18,채팅,요금,기존,57.0,4,14.06,1.8,3.34,1
2025-07-19,이메일,장애,기존,166.5,13,11.0,2.1,2.25,1
2025-07-20,전화,가입,기존,155.5,12,9.07,4.0,3.69,0
2025-07-20,전화,장애,기존,40.6,2,10.67,3.3,3.91,0
2025-07-21,채팅,가입,신규,7.5,0,10.36,9.1,4.72,0
2025-07-21,채팅,요금,기존,32.1,3,6.45,5.8,3.74,0
2025-07-21,채팅,요금,기존,14.3,0,8.43,1.3,4.02,1
2025-07-21,전화,요금,신규,67.7,5,8.5,9.2,4.7,1
2025-07-21,전화,기타,신규,29.9,2,7.13,7.9,4.16,1
2025-07-22,전화,기타,기존,67.1,5,6.35,4.4,4.32,1
2025-07-22,전화,요금,기존,29.4,4,5.92,4.1,4.25,0
2025-07-22,채팅,요금,기존,12.8,3,7.38,6.8,4.53,0
2025-07-22,이메일,가입,신규,57.0,5,10.66,6.8,3.44,0
2025-07-22,전화,가입,기존,39.1,4,9.34,5.0,4.17,0
2025-07-22,이메일,가입,기존,30.6,3,11.62,1.6,3.39,0
2025-07-22,전화,기타,기존,91.9,8,9.08,1.4,3.16,0
2025-07-22,이메일,가입,신규,180.7,16,14.18,1.2,2.61,1
2025-07-23,이메일,요금,기존,16.2,1,6.41,4.9,3.37,0
2025-07-23,전화,기타,기존,46.4,4,9.5,2.1,3.79,0
2025-07-24,채팅,요금,기존,56.2,3,8.98,4.6,3.95,1
2025-07-24,채팅,가입,신규,109.9,8,10.01,4.5,3.1,0
2025-07-24,채팅,기타,신규,119.1,11,6.67,3.0,3.47,1
2025-07-24,채팅,기타,신규,118.8,8,6.73,2.3,3.48,0
2025-07-25,채팅,가입,신규,61.7,6,14.93,2.8,3.15,0
2025-07-25,이메일,장애,신규,33.1,1,9.83,6.4,3.16,1
2025-07-25,전화,가입,기존,43.6,3,8.16,2.2,4.15,0
2025-07-25,전화,요금,신규,206.1,17,6.16,8.5,3.75,0
2025-07-26,이메일,기타,기존,246.3,22,6.92,6.5,2.48,1
2025-07-27,전화,기타,신규,21.8,1,10.2,4.8,4.77,1
2025-07-27,전화,요금,기존,18.7,1,8.07,7.3,4.86,0
2025-07-27,전화,가입,기존,13.1,0,14.51,5.5,4.27,0
2025-07-27,채팅,장애,신규,37.8,3,12.37,3.0,3.46,1
2025-07-28,이메일,장애,신규,21.6,3,12.33,6.8,3.19,1
2025-07-28,이메일,요금,기존,375.6,31,8.03,3.6,1.28,1
2025-07-29,채팅,요금,신규,5.5,0,9.0,7.4,4.49,0
2025-07-29,채팅,요금,기존,10.1,1,6.0,3.6,3.87,0
2025-07-29,이메일,기타,기존,104.0,9,7.7,1.0,2.77,0
2025-07-29,전화,요금,신규,101.9,9,5.65,6.8,4.21,1
2025-07-29,전화,기타,기존,46.5,3,6.81,2.6,4.23,0
2025-07-29,전화,가입,기존,20.1,0,15.71,3.0,3.79,0
2025-07-30,전화,장애,기존,17.0,1,10.92,2.0,3.94,0
2025-07-30,채팅,요금,기존,8.8,1,6.91,3.3,4.89,0
2025-07-30,전화,요금,기존,337.8,29,13.96,0.8,2.63,1
2025-07-30,이메일,장애,기존,17.8,2,10.12,6.1,3.41,0
2025-07-31,채팅,요금,기존,50.7,4,7.07,8.3,4.35,0
2025-07-31,채팅,기타,기존,25.3,2,13.13,5.3,5.0,0
2025-07-31,전화,가입,신규,373.1,32,8.28,1.7,2.37,1
2025-08-01,이메일,요금,신규,26.3,1,7.7,1.0,2.66,1
2025-08-01,채팅,장애,기존,13.6,2,11.85,10.8,3.95,1
2025-08-02,이메일,가입,신규,150.6,12,9.04,1.5,2.86,1
2025-08-02,전화,장애,기존,58.4,5,11.28,1.7,4.47,0
2025-08-02,전화,장애,신규,137.1,11,11.29,7.8,3.45,0
2025-08-02,전화,요금,기존,21.1,2,6.93,14.6,5.0,0
2025-08-02,채팅,장애,기존,11.8,1,10.8,3.8,3.63,1
2025-08-02,전화,장애,신규,45.4,3,12.88,12.0,4.53,1
2025-08-03,채팅,장애,신규,196.3,16,14.91,1.4,2.41,1
2025-08-03,이메일,기타,기존,24.7,4,7.96,5.1,4.06,1
2025-08-03,이메일,장애,기존,84.0,5,10.89,5.1,2.69,1
2025-08-04,채팅,요금,기존,9.4,1,7.78,1.6,4.08,1
2025-08-04,채팅,가입,신규,28.1,3,12.81,4.6,3.95,0
2025-08-04,전화,장애,신규,5.0,2,13.03,3.1,4.28,1
2025-08-05,채팅,장애,기존,22.3,1,10.46,6.3,4.19,0
2025-08-05,전화,장애,기존,93.2,8,9.38,15.4,4.39,1
2025-08-05,이메일,요금,신규,211.8,18,8.19,2.9,2.57,0
2025-08-05,채팅,장애,기존,8.1,0,11.6,5.5,3.74,1
2025-08-06,전화,가입,기존,13.2,1,9.44,4.5,4.36,1
2025-08-06,전화,가입,기존,47.3,4,11.42,3.0,4.44,0
2025-08-07,전화,요금,기존,57.6,5,8.11,1.4,4.28,1
2025-08-07,이메일,기타,기존,7.3,0,7.03,2.7,3.44,1
2025-08-07,이메일,요금,신규,159.5,14,6.65,3.3,3.24,1
2025-08-08,이메일,장애,기존,83.4,6,11.93,5.9,3.62,1
2025-08-08,채팅,장애,기존,10.4,0,13.69,0.9,3.41,0
2025-08-08,이메일,기타,신규,22.2,1,6.82,10.5,3.28,0
2025-08-09,전화,기타,신규,82.1,7,6.73,1.0,4.01,0
2025-08-09,전화,장애,기존,21.2,2,18.24,2.1,4.63,0
2025-08-10,이메일,기타,기존,88.9,9,10.9,2.0,2.64,1
2025-08-10,채팅,가입,기존,16.4,2,8.72,2.8,3.44,0
2025-08-10,채팅,기타,신규,10.4,3,7.59,1.8,3.77,0
2025-08-11,채팅,가입,기존,20.4,1,9.79,2.6,3.9,0
2025-08-12,이메일,가입,기존,6.0,0,9.04,4.1,3.73,0
2025-08-12,전화,장애,신규,18.3,3,12.96,2.8,3.82,0
2025-08-12,채팅,요금,기존,27.5,2,10.12,1.2,3.95,0
2025-08-13,전화,요금,기존,25.9,3,8.72,7.1,4.53,0
2025-08-13,전화,기타,기존,46.6,5,7.85,4.7,3.73,0
2025-08-13,전화,장애,기존,26.3,1,10.2,12.2,5.0,1
2025-08-14,전화,가입,신규,62.1,6,17.43,2.8,3.41,0
2025-08-15,이메일,가입,기존,212.3,18,8.15,3.7,2.68,1
2025-08-15,전화,기타,기존,49.3,2,6.6,5.4,4.7,0
2025-08-16,이메일,요금,신규,212.9,19,11.68,10.8,2.56,1
2025-08-17,전화,요금,기존,65.7,6,5.67,3.8,3.74,0
2025-08-17,채팅,가입,기존,93.2,8,7.66,7.2,3.33,0
2025-08-17,채팅,가입,기존,18.7,1,8.49,3.3,3.73,0
2025-08-17,채팅,장애,기존,27.2,2,12.23,3.0,3.78,1
2025-08-18,채팅,요금,신규,118.3,11,4.79,16.0,4.81,0
2025-08-19,전화,기타,기존,147.6,10,5.67,1.9,3.95,1
2025-08-19,전화,가입,신규,23.3,1,12.88,8.1,5.0,0
2025-08-19,채팅,장애,신규,43.5,3,15.93,1.8,4.05,0
2025-08-19,채팅,요금,신규,8.9,1,13.53,2.8,4.08,0
2025-08-20,전화,장애,기존,31.2,3,10.91,2.8,4.39,0
2025-08-20,전화,요금,신규,53.4,4,7.07,1.7,4.15,0
2025-08-20,이메일,기타,신규,12.8,1,5.3,3.0,4.04,0
2025-08-21,채팅,장애,신규,15.1,2,11.78,2.4,3.2,1
2025-08-21,이메일,가입,신규,97.2,8,11.92,1.2,2.99,1
2025-08-21,전화,기타,기존,97.5,9,6.68,7.5,4.78,1
2025-08-21,이메일,기타,기존,188.9,15,8.62,1.5,2.18,1
2025-08-22,전화,요금,신규,15.8,2,7.49,2.0,3.52,0
2025-08-22,채팅,장애,신규,7.0,2,13.53,6.0,4.57,1
2025-08-22,전화,가입,신규,115.3,8,8.44,11.6,4.16,0
2025-08-22,전화,장애,기존,48.7,2,11.58,2.2,4.2,0
2025-08-22,전화,기타,신규,30.6,3,6.23,1.7,4.1,0
2025-08-22,전화,장애,신규,66.3,5,11.99,2.1,2.85,1
2025-08-23,채팅,장애,기존,11.7,1,9.91,6.3,4.41,0
2025-08-23,전화,요금,기존,10.8,1,6.21,4.9,5.0,1
2025-08-23,채팅,가입,신규,96.8,6,10.92,1.4,3.53,1
2025-08-24,채팅,요금,신규,197.3,16,11.51,2.6,2.76,1
2025-08-24,전화,기타,신규,572.2,48,5.69,5.0,1.9,1
2025-08-24,전화,요금,신규,157.6,12,7.85,2.4,3.57,0
2025-08-24,이메일,장애,기존,160.8,12,14.76,1.5,2.18,0
2025-08-24,전화,요금,기존,20.4,2,13.03,1.0,4.28,0
2025-08-24,전화,요금,신규,111.1,8,7.35,4.6,4.15,1
2025-08-24,전화,장애,신규,152.8,12,11.9,4.8,2.88,1
2025-08-25,전화,요금,기존,13.3,0,7.51,7.4,5.0,0
2025-08-25,전화,기타,기존,8.0,1,8.82,6.2,4.26,0
2025-08-25,채팅,기타,기존,15.5,1,6.04,4.1,4.23,0
2025-08-25,전화,요금,기존,120.7,10,9.97,12.9,4.24,1
2025-08-26,채팅,가입,기존,34.9,2,10.84,2.7,3.58,0
2025-08-26,채팅,기타,기존,29.9,3,4.35,9.2,3.77,1
2025-08-27,이메일,기타,신규,233.4,19,12.45,2.9,2.02,1
2025-08-27,채팅,요금,기존,40.1,4,6.6,9.1,4.59,0
2025-08-27,전화,가입,기존,46.9,5,7.73,3.9,4.44,0
2025-08-27,전화,가입,기존,66.9,7,10.96,2.2,3.54,1
2025-08-28,이메일,장애,신규,566.1,48,18.39,4.9,1.0,1
2025-08-28,전화,가입,신규,54.3,5,11.14,4.6,4.46,0
2025-08-28,이메일,가입,기존,54.2,4,9.44,4.6,3.78,1
2025-08-28,전화,요금,기존,11.3,1,13.01,4.3,4.25,0
2025-08-28,전화,요금,기존,42.5,3,8.29,1.8,4.69,0
2025-08-28,채팅,요금,신규,33.4,3,8.19,4.2,3.76,0
2025-08-28,전화,장애,기존,113.8,10,14.82,5.5,3.02,0
2025-08-29,전화,가입,기존,29.2,3,11.98,1.9,4.14,0
2025-08-29,전화,장애,신규,20.8,0,14.99,3.7,4.22,1
2025-08-29,이메일,가입,기존,76.8,7,8.19,4.1,3.52,1
2025-08-29,전화,가입,신규,41.3,5,7.88,4.2,4.38,1
2025-08-29,전화,가입,기존,50.7,3,10.1,1.2,4.02,1
2025-08-29,이메일,기타,기존,394.6,33,5.46,9.4,1.96,1
